,Hitter,SLG,OPS,BB%,K%,RBI%,wOBA,PA/HR
90,Rob Refsnyder,0.448,0.7799999999999999,0.08040201005025126,0.271356783919598,0.16666666666666666,0.3394517766497462,22.11111111111111
91,Edouard Julien,0.23399999999999999,0.48700000000000004,0.07058823529411765,0.32941176470588235,0.11764705882352941,0.21895294117647054,170.0
92,David Hamilton,0.36699999999999994,0.646,0.06598984771573604,0.25380710659898476,0.1595744680851064,0.27308121827411164,39.4
93,Kristian Campbell,0.8329999999999999,1.333,0.14285714285714285,0.17857142857142858,0.25,0.55,14.0
94,Oswaldo Cabrera,0.39,0.7162565789473684,0.07792207792207792,0.19480519480519481,0.16129032258064516,0.30576315789473685,51.333333333333336
95,Brendan Rodgers,0.446,0.7655397489539749,0.0625,0.2708333333333333,0.1926605504587156,0.33494979079497905,34.285714285714285
96,Jorge Mateo,0.395,0.654,0.043243243243243246,0.22702702702702704,0.13186813186813187,0.2655081967213115,37.0
97,Santiago Espinal,0.439,0.7911778846153846,0.057692307692307696,0.14423076923076922,0.2289156626506024,0.33415458937198067,41.6
98,Jose Trevino,0.342,0.6096684782608696,0.08648648648648649,0.1891891891891892,0.13924050632911392,0.2713478260869565,30.833333333333332
99,Heston Kjerstad,0.394,0.73308,0.064,0.304,0.18461538461538463,0.32060162601626013,31.25
100,Nick Martini,0.37,0.638413407821229,0.05555555555555555,0.23333333333333334,0.25,0.28081564245810053,36.0
101,Christian Vazquez,0.402,0.691,0.04433497536945813,0.17733990147783252,0.14583333333333334,0.28378499999999995,33.833333333333336
102,Romy Gonzalez,0.439,0.7182745098039215,0.0457516339869281,0.30718954248366015,0.20270270270270271,0.3158366013071895,25.5
103,Gabriel Moreno,0.431,0.7929863013698631,0.1187214611872146,0.1552511415525114,0.2777777777777778,0.356365296803653,54.75
104,Vinny Capra,0.222,0.333,0.0,0.2413793103448276,0.08695652173913043,0.181,29.0
105,Zach Dezenzo,0.371,0.648,0.041666666666666664,0.3611111111111111,0.175,0.2674861111111111,36.0
106,Victor Caratini,0.384,0.742,0.09743589743589744,0.20512820512820512,0.11827956989247312,0.32936597938144335,48.75
107,Oswald Peraza,0.5,0.7729999999999999,0.07692307692307693,0.23076923076923078,0.1111111111111111,0.4362307692307692,6.5
108,Oliver Dunn,0.316,0.598,0.05405405405405406,0.3963963963963964,0.10344827586206896,0.2493090909090909,111.0
109,Austin Wynns,0.579,0.979,0.0,0.25,0.3333333333333333,0.47141666666666665,24.0
110,Trent Grisham,0.45699999999999996,0.7610465116279069,0.08670520231213873,0.2543352601156069,0.2682926829268293,0.34917543859649125,19.22222222222222
111,Mauricio Dubon,0.316,0.5986179775280899,0.044444444444444446,0.15,0.18604651162790697,0.2614494382022472,180.0
112,Tyler Freeman,0.252,0.5405945945945946,0.06756756756756757,0.11486486486486487,0.06557377049180328,0.2559324324324324,148.0
113,Dylan Carlson,0.302,0.5881213872832369,0.08670520231213873,0.3179190751445087,0.20512820512820512,0.2642254335260116,57.666666666666664
114,Rafael Marchan,0.549,0.8791000000000001,0.06557377049180328,0.13114754098360656,0.15384615384615385,0.3763333333333333,20.333333333333332
115,Jose Herrera,0.32,0.6046956521739131,0.08130081300813008,0.23577235772357724,0.25,0.26556521739130434,123.0
116,Blake Dunn,0.308,0.5489999999999999,0.05263157894736842,0.3684210526315789,0.0,0.21178947368421047,38.0
117,Johan Rojas,0.373,0.6664662162162163,0.0392156862745098,0.20261437908496732,0.16901408450704225,0.30764864864864866,153.0
118,Kody Clemens,0.447,0.6992213114754098,0.04918032786885246,0.23770491803278687,0.18055555555555555,0.30163934426229505,24.4
119,Kyle Farmer,0.429,0.696206106870229,0.061068702290076333,0.21374045801526717,0.17647058823529413,0.29743511450381677,26.2
120,Sean Bouchard,0.297,0.587,0.10619469026548672,0.3185840707964602,0.2,0.2621071428571428,113.0
121,DaShawn Keirsey Jr.,0.385,0.599,0.0,0.17647058823529413,0.0,0.2148235294117647,17.0
